disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id
D106,"Streptococcus Pneumoniae, Invasive",,Ontario monthly preliminary,Invasive pneumococcal disease|IPD,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_INVASIVE_PNEUMOCOCCAL_DISEASE_MONTHLY
D124,Typhoid Fever,,Ontario monthly preliminary,Typhoid fever|Salmonella Typhi infection,Exact typhoid-only Ontario IDTO mapping; distinct from paratyphoid and combined enteric fever.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_TYPHOID_MONTHLY
D167,"Syphilis, Early Congenital",,Ontario monthly preliminary,Early congenital syphilis,Narrower mapping to D167; PHO defines early congenital syphilis within two years of birth and reports confirmed cases only; do not treat this series as all congenital syphilis.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_EARLY_CONGENITAL_SYPHILIS_MONTHLY
D091,Botulism,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_BOTULISM_MONTHLY
D032,Brucellosis,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_BRUCELLOSIS_MONTHLY
D002,Cholera,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_CHOLERA_MONTHLY
D096,Cryptosporidiosis,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_CRYPTOSPORIDIOSIS_MONTHLY
D045,Echinococcus Multilocularis Infection,,Ontario monthly preliminary,Echinococcus multilocularis infection|Alveolar echinococcosis,"Narrower mapping to D045; PHO reports E. multilocularis specifically, not all echinococcosis; confirmed-only source series.",Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_ECHINOCOCCUS_MULTILOCULARIS_MONTHLY
D100,"Haemophilus Influenzae Disease, All Types, Invasive",,Ontario monthly preliminary,Invasive Haemophilus influenzae disease|Invasive Hi disease all types,Narrower mapping to D100; invasive disease across all serotypes; source combines confirmed and probable cases.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_INVASIVE_HAEMOPHILUS_INFLUENZAE_ALL_TYPES_MONTHLY
D107,Legionellosis,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_LEGIONELLOSIS_MONTHLY
D108,Listeriosis,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_LISTERIOSIS_MONTHLY
D109,Lyme Disease,,Ontario monthly preliminary,Lyme borreliosis,Exact Ontario IDTO preliminary monthly mapping; source combines confirmed and probable cases.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_LYME_DISEASE_MONTHLY
D017,Measles,,Ontario monthly preliminary,Rubeola,Exact Ontario IDTO preliminary monthly mapping; confirmed-only tool series even though probable cases are reportable provincially.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_MEASLES_MONTHLY
D039,Mumps,,Ontario monthly preliminary,Epidemic parotitis,Exact Ontario IDTO preliminary monthly mapping; source combines confirmed and probable cases.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_MUMPS_MONTHLY
D113,Q Fever,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_Q_FEVER_MONTHLY
D120,Tetanus,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_TETANUS_MONTHLY
D122,Trichinosis,,Ontario monthly preliminary,Trichinellosis|Trichinella infection,Exact Ontario source synonym mapping from Trichinosis to D122 Trichinellosis; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_TRICHINELLOSIS_MONTHLY
D025,Tuberculosis,,Ontario monthly preliminary,Active tuberculosis|TB,"Exact active-tuberculosis Ontario IDTO mapping; latent infection is excluded, confirmed cases only, and time is Diagnosis Date.",Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_ACTIVE_TUBERCULOSIS_MONTHLY
D123,Tularemia,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_TULAREMIA_MONTHLY
D115,Verotoxin Producing E. Coli Including HUS,,Ontario monthly preliminary,VTEC|STEC|Shiga toxin-producing E. coli|Haemolytic uremic syndrome,Exact culture-confirmed VTEC/STEC mapping; despite the title probable HUS-only toxin-only and NAAT-only cases are excluded.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_VEROTOXIN_ECOLI_INCLUDING_HUS_MONTHLY
D128,West Nile Virus Illness,,Ontario monthly preliminary,WNV illness|West Nile virus disease,Exact broad WNV surveillance mapping covering neurologic non-neurologic and asymptomatic classifications; source combines confirmed and probable cases.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_WEST_NILE_VIRUS_ILLNESS_MONTHLY
D155,Yersiniosis,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_YERSINIOSIS_MONTHLY
D065,Mpox,,Ontario monthly preliminary,Monkeypox,Exact Ontario IDTO preliminary monthly mapping; confirmed-only source series under the July 2026 technical notes.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_MPOX_MONTHLY
D098,Anaplasmosis,,Ontario monthly preliminary,,Ontario reports anaplasmosis separately within the combined Ehrlichiosis and Anaplasmosis concept; retain as a non-additive source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_ANAPLASMOSIS_MONTHLY
D090,Babesiosis,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary babesiosis series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_BABESIOSIS_MONTHLY
D243,Blastomycosis,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary blastomycosis series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_BLASTOMYCOSIS_MONTHLY
D101,Candida auris infection,,Ontario monthly preliminary,Candida auris,Exact Ontario IDTO preliminary Candida auris series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_CANDIDA_AURIS_MONTHLY
D244,Carbapenemase-producing Enterobacteriaceae (CPE),,Ontario monthly preliminary,,Ontario CPE surveillance is distinct from broad CPO and CRE concepts; retain as a non-additive source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_CPE_MONTHLY
D097,Cyclosporiasis,,Ontario monthly preliminary,,Exact Ontario IDTO preliminary cyclosporiasis series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_CYCLOSPORIASIS_MONTHLY
D157,"Group A Streptococcal Disease, Invasive",,Ontario monthly preliminary,Invasive group A streptococcal disease,Exact invasive group A streptococcal source series; retain non-additive reporting semantics.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_INVASIVE_GROUP_A_STREPTOCOCCAL_DISEASE_MONTHLY
D245,"Group B Streptococcal Disease, Neonatal",,Ontario monthly preliminary,,Exact neonatal invasive group B streptococcal source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_NEONATAL_GROUP_B_STREPTOCOCCAL_DISEASE_MONTHLY
D246,Ophthalmia Neonatorum,,Ontario monthly preliminary,,Exact Ontario neonatal conjunctivitis reporting category; pathogen is not asserted.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_OPHTHALMIA_NEONATORUM_MONTHLY
D247,Paralytic Shellfish Poisoning,,Ontario monthly preliminary,,Exact source-reported marine biotoxin poisoning category.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_PARALYTIC_SHELLFISH_POISONING_MONTHLY
D248,Powassan virus,,Ontario monthly preliminary,Powassan virus disease,Exact Powassan virus disease source series.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_POWASSAN_VIRUS_MONTHLY
D249,"Syphilis, Infectious",,Ontario monthly preliminary,,Ontario combines primary secondary and early latent syphilis; retain separately from generic and duration-based syphilis concepts.,Public Health Ontario IDTO Monthly Preliminary Data,SRC_CA_ON_PHO_IDTO,SER_CA_ON_PHO_IDTO_INFECTIOUS_SYPHILIS_MONTHLY
